item,descripcion,stock,precio,product_id
PALETA-AGUA-FRESA,PALETA AGUA Fresa,40,25,6D8A2D50
PALETA-AGUA-GROSSELLA,PALETA AGUA Grosella,40,25,81CEF3B7
PALETA-AGUA-GUAYABA,PALETA AGUA Guayaba,40,25,F2E6E9F9
PALETA-AGUA-LIMON,PALETA AGUA Limon,40,25,FFFB8948
PALETA-AGUA-MANDARINA,PALETA AGUA Mandarina,40,25,3D2B18C9
PALETA-AGUA-MANGO,PALETA AGUA Mango,40,25,6263D0A1
PALETA-AGUA-MARACUYA,PALETA AGUA Maracuya,40,25,4E1A8D0F
PALETA-AGUA-MELON,PALETA AGUA Melon,40,25,5A40D3E3
PALETA-AGUA-PINA,PALETA AGUA Pina,40,25,BFE88BE3
PALETA-AGUA-SANDIA,PALETA AGUA Sandia,40,25,21BFA58F
PALETA-AGUA-TAMARINDO,PALETA AGUA Tamarindo,40,25,98C5FF9E
PALETA-AGUA-UVA,PALETA AGUA Uva,40,25,27D27C45
PALETA-AGUA-ZAPOTE,PALETA AGUA Zapote,40,25,B4564A9B
PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,PALETA AGUA PREMIUM Frutos Rojos,40,30,746FF175
PALETA-AGUA-PREMIUM-LIMON-CHAMOY,PALETA AGUA PREMIUM Limon-Chamoy,40,30,BBF0DD66
PALETA-AGUA-PREMIUM-MANGO-CHAMOY,PALETA AGUA PREMIUM Mango-Chamoy,40,30,331268B8
PALETA-CREMA-ALGODON,PALETA CREMA Algodon,40,35,EBCA445D
PALETA-CREMA-ARROZ,PALETA CREMA Arroz,40,35,D24145B9
PALETA-CREMA-BESO-DE-ANGEL,PALETA CREMA Beso de Angel,40,35,0F878660
PALETA-CREMA-CAPUCHINO,PALETA CREMA Capuchino,40,35,13A74508
PALETA-CREMA-CHICLE,PALETA CREMA Chicle,40,35,053D0623
PALETA-CREMA-CHOCOLATE,PALETA CREMA Chocolate,40,35,3D836156
PALETA-CREMA-COCO,PALETA CREMA Coco,40,35,7B6778AE
PALETA-CREMA-DURAZNOS-CON-CREMA,PALETA CREMA Duraznos con Crema,40,35,C8A28FAC
PALETA-CREMA-NUEZ,PALETA CREMA Nuez,40,35,92CFB2A5
PALETA-CREMA-PINON,PALETA CREMA Pinon,40,35,F6F287A9
PALETA-CREMA-QUESO,PALETA CREMA Queso,40,35,5D44B5F6
PALETA-CREMA-QUESO-CON-ZARZAMORA,PALETA CREMA Queso con Zarzamora,40,35,61B423B6
PALETA-CREMA-SELVA-NEGRA,PALETA CREMA Selva Negra,40,35,05833CE3
PALETA-CREMA-STRACCIATELLA,PALETA CREMA Stracciatella,40,35,790D9A06
PALETA-CREMA-FRESA-CON-CREMA,PALETA CREMA Fresa con Crema,39,35,03C761CC
PALETA-CREMA-MAMEY,PALETA CREMA Mamey,40,35,07A7670E
PALETA-CREMA-OREO,PALETA CREMA Oreo,40,35,02298874
PALETA-CREMA-PAY-DE-LIMON,PALETA CREMA Pay de Limon,40,35,7B72DC7E
PALETA-CREMA-ROMPOPE,PALETA CREMA Rompope,40,35,ACF8DA00
PALETA-CREMA-TARO,PALETA CREMA Taro,40,35,866B8AED
PALETA-CREMA-VAINILLA,PALETA CREMA Vainilla,40,35,F6AEC245
PALETA-CREMA-PREMIUM-BAILEYS,PALETA CREMA PREMIUM Baileys,40,40,71F27465
PALETA-CREMA-PREMIUM-CAJETA,PALETA CREMA PREMIUM Cajeta,40,40,6AD82AE1
PALETA-CREMA-PREMIUM-CHONGOS,PALETA CREMA PREMIUM Chongos,40,40,884118CA
PALETA-CREMA-PREMIUM-FERRERO,PALETA CREMA PREMIUM Ferrero,40,40,516E1BCF
PALETA-CREMA-PREMIUM-KAHLUA,PALETA CREMA PREMIUM Kahlua,40,40,2CF84FBA
PALETA-CREMA-PREMIUM-QUESO-CON-ZARZAMORA,PALETA CREMA PREMIUM Queso con Zarzamora,40,40,000CCCFD
PALETA-CREMA-PREMIUM-RON-CON-PASAS,PALETA CREMA PREMIUM Ron con Pasas,40,40,92BA8FD0
PALETA-CREMA-PREMIUM-SNICKERS,PALETA CREMA PREMIUM Snickers,40,40,3A0CCE07
PALETA-CREMA-PREMIUM-VINO-TINTO-RELLENO,PALETA CREMA PREMIUM Vino Tinto (Relleno),40,40,6DF1F449
PALETA-SIN-AZUCAR-CHOCOLATE,PALETA SIN AZUCAR Chocolate,40,45,03390F0A
PALETA-SIN-AZUCAR-COCO,PALETA SIN AZUCAR Coco,40,45,68D4185D
PALETA-SIN-AZUCAR-MAMEY,PALETA SIN AZUCAR Mamey,40,45,43F5B285
PALETA-SIN-AZUCAR-PISTACHE,PALETA SIN AZUCAR Pistache,40,45,66B31F3E
PALETA-SIN-AZUCAR-FERRERO,PALETA SIN AZUCAR Ferrero,40,45,0935F20F
PALETA-SIN-AZUCAR-FRESA-CHAMOY,PALETA SIN AZUCAR Fresa-Chamoy,40,45,498B2E60
PALETA-SIN-AZUCAR-FRUTOS-ROJOS,PALETA SIN AZUCAR Frutos Rojos,40,45,EE158D68
PALETA-SIN-AZUCAR-LIMON-CHAMOY,PALETA SIN AZUCAR Limon-Chamoy,40,45,6B274D02
PALETA-SIN-AZUCAR-MANGO,PALETA SIN AZUCAR Mango,40,45,DC109062
PALETA-SIN-AZUCAR-MAZAPAN,PALETA SIN AZUCAR Mazapan,40,45,CD42C696
PALETA-SIN-AZUCAR-NUEZ,PALETA SIN AZUCAR Nuez,40,45,24E6A7FD
PALETA-SIN-AZUCAR-PINON,PALETA SIN AZUCAR Pinon,40,45,F797E587
PALETA-SIN-AZUCAR-VAINILLA,PALETA SIN AZUCAR Vainilla,40,45,6A09314A
PALETA-MINI-MINI-AGUA,PALETA MINI Mini Agua,40,6,7A03C7DC
PALETA-MINI-MINI-CREMA,PALETA MINI Mini Crema,40,8,C371ED40
PALETA-MINI-MINI-SIN-AZUCAR,PALETA MINI Mini Sin Azucar,40,10,D189174D
EXTRA-PALETAS-PARA-PERRO,EXTRA Paletas para Perro,40,30,6A3513FD
EXTRA-COBERTURA-CHOCOLATE,EXTRA Cobertura Chocolate,40,10,062CFB68
EXTRA-COBERTURA-CON-TOPPING,EXTRA Cobertura con Topping,40,15,A9581B56
HELADO-NIEVE-SENCILLO,Helado Nieve Sencillo,40,25,641AA19F
HELADO-NIEVE-DOBLE,Helado Nieve Doble,40,45,3021BE59
HELADO-NIEVE-MEDIO-LITRO,Helado Nieve Medio Litro,40,75,7081D5FB
HELADO-NIEVE-LITRO,Helado Nieve Litro,40,150,D6B795F8
HELADO-CLASICO-SENCILLO,Helado Clasico Sencillo,40,35,9D68612D
HELADO-CLASICO-DOBLE,Helado Clasico Doble,40,60,BD4D8B7F
HELADO-CLASICO-MEDIO-LITRO,Helado Clasico Medio Litro,40,90,AA40C33B
HELADO-CLASICO-LITRO,Helado Clasico Litro,40,160,7968996E
HELADO-GOURMET-SENCILLO,Helado Gourmet Sencillo,40,40,97EEAB91
HELADO-GOURMET-DOBLE,Helado Gourmet Doble,40,70,7888486E
HELADO-GOURMET-MEDIO-LITRO,Helado Gourmet Medio Litro,40,95,2682D29D
HELADO-GOURMET-LITRO,Helado Gourmet Litro,40,170,28C3B90F
HELADO-SIN-AZUCAR-SENCILLO,Helado Sin Azucar Sencillo,40,45,9E69701A
HELADO-SIN-AZUCAR-DOBLE,Helado Sin Azucar Doble,40,75,93BBD957
HELADO-SIN-AZUCAR-MEDIO-LITRO,Helado Sin Azucar Medio Litro,40,95,DA2364A6
HELADO-SIN-AZUCAR-LITRO,Helado Sin Azucar Litro,40,180,9DC9D6D6
AGUA-FRESCA-HORCHATA-CHICA,AGUA FRESCA Horchata Chica,40,25,74CEF70C
AGUA-FRESCA-HORCHATA-GRANDE,AGUA FRESCA Horchata Grande,40,35,9C1B04E4
AGUA-FRESCA-LIMON-CON-CHIA-CHICA,AGUA FRESCA Limon con Chia Chica,40,25,C7316792
AGUA-FRESCA-LIMON-CON-CHIA-GRANDE,AGUA FRESCA Limon con Chia Grande,40,35,5E6808D9
BOTANA-DORILOCOS,BOTANA Dorilocos,40,50,CFCEA938
BOTANA-PLATANITOS,BOTANA Platanitos,40,15,7E9B8EC2
BEBIDA-CHAMOYADA,BEBIDA Chamoyada,40,60,1C271C39
BEBIDA-FRAPUCHINO,BEBIDA Frapuchino,40,60,2188FC39
POSTRE-DANONINO-CHICO-CON-COBERTURA,POSTRE Danonino Chico con Cobertura,40,20,2BDB89ED
POSTRE-DANONINO-GRANDE-CON-COBERTURA,POSTRE Danonino Grande con Cobertura,40,30,3B6B12C9
BEBIDA-CHOCOLATE-CALIENTE,BEBIDA Chocolate Caliente,40,35,F76E2099
BEBIDA-CHOCOLATE-CALIENTE-VEGANO,BEBIDA Chocolate Caliente Vegano,40,40,1DD9CEE1
MALTEADA-CLASICA,MALTEADA Clasica,40,65,D7361A46
MALTEADA-GOURMET,MALTEADA Gourmet,40,70,F63212B1
MALTEADA-SIN-AZUCAR,MALTEADA Sin Azucar,40,75,8E1F2139
**Cantidad**:,,-1,,65C9EDE4
